,season_x,player,age,team_id,pos,g,gs,mp_per_g,fga_per_g,fg_pct,fg3a_per_g,fg3_pct,fg2a_per_g,fg2_pct,efg_pct,fta_per_g,ft_pct,orb_per_g,drb_per_g,tr_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,season_y,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
5570,2023,Jalen Suggs,21,ORL,SG,53,19,23.5,8.4,.419,3.8,.327,4.6,.496,.493,2.2,.723,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,9.9,2023,1246,12.5,.528,.455,.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,.053,-1.8,0.8,-1.0,0.3,-2.56,-2.39,0.4146341463414634
5578,2023,Bol Bol,23,ORL,PF,70,33,21.5,6.8,.546,1.6,.265,5.2,.633,.577,1.5,.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,2023,1505,14.4,.603,.236,.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,0.0,2.2,2.3,.072,-1.8,0.9,-0.9,0.4,-2.56,-2.39,0.4146341463414634
5582,2023,Terrence Ross,31,ORL,SG,42,9,22.5,7.1,.431,3.8,.381,3.3,.489,.533,0.5,.750,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,8.0,2023,1330,10.2,.544,.555,.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,.059,-1.8,-0.3,-2.1,0.0,-2.56,-2.39,0.4146341463414634
5588,2023,Gary Harris,28,ORL,SG,48,42,24.7,6.4,.450,4.5,.431,1.9,.494,.603,0.6,.900,0.4,1.6,2.0,1.2,0.9,0.3,0.6,1.9,8.3,2023,1184,10.5,.620,.710,.098,2.0,7.4,4.7,6.9,1.8,1.0,8.0,12.6,1.3,1.1,2.3,.095,-1.4,0.7,-0.7,0.4,-2.56,-2.39,0.4146341463414634
5608,2023,Jay Scrubb,22,ORL,SG,2,0,15.0,3.5,.714,1.0,1.000,2.5,.600,.857,1.0,.500,0.0,3.0,3.0,0.5,1.0,0.0,1.5,1.0,6.5,2023,30,14.2,.825,.286,.286,0.0,22.7,11.3,5.0,3.2,0.0,27.6,15.6,0.0,0.0,0.1,.083,-2.9,1.0,-1.9,0.0,-2.56,-2.39,0.4146341463414634
5618,2023,Jonathan Isaac,25,ORL,PF,11,0,11.3,4.8,.415,1.4,.400,3.5,.421,.472,0.8,.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,2023,124,20.3,.483,.283,.170,13.7,26.5,20.1,7.3,5.5,3.1,6.6,21.1,0.0,0.3,0.3,.130,1.0,3.0,4.0,0.2,-2.56,-2.39,0.4146341463414634
5626,2023,Chuma Okeke,24,ORL,SF,27,8,19.2,4.5,.352,3.2,.302,1.3,.472,.459,0.8,.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,2023,518,9.1,.488,.705,.172,5.7,15.3,10.5,9.4,1.8,2.1,11.5,12.3,0.0,0.6,0.7,.061,-2.4,0.8,-1.6,0.1,-2.56,-2.39,0.4146341463414634
5650,2023,Michael Carter-Williams,31,ORL,PG,4,0,11.0,3.5,.429,0.8,.333,2.8,.455,.464,1.8,.571,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,4.3,2023,44,9.0,.498,.214,.500,2.6,10.3,6.4,22.6,1.1,2.2,19.0,20.6,0.0,0.0,0.0,-0.003,-5.1,-1.2,-6.3,0.0,-2.56,-2.39,0.4146341463414634
5652,2023,Admiral Schofield,25,ORL,PF,37,0,12.2,3.3,.451,2.0,.324,1.3,.646,.549,0.6,.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2,2023,451,10.1,.587,.607,.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,.089,-2.2,-0.7,-2.9,-0.1,-2.56,-2.39,0.4146341463414634
5660,2023,Kevon Harris,25,ORL,SG,34,0,13.4,3.1,.439,1.3,.372,1.9,.484,.514,1.2,.756,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,4.1,2023,457,9.2,.564,.402,.383,6.9,10.4,8.7,4.7,1.8,1.1,14.4,13.7,0.2,0.4,0.6,.065,-3.5,-0.1,-3.6,-0.2,-2.56,-2.39,0.4146341463414634
5668,2023,Caleb Houstan,20,ORL,SF,51,4,15.9,3.6,.363,2.7,.338,0.9,.435,.489,0.4,.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,2023,812,6.2,.508,.747,.099,4.7,9.1,6.9,4.9,0.7,0.8,8.7,11.0,0.1,0.5,0.7,.039,-3.1,-0.9,-4.0,-0.4,-2.56,-2.39,0.4146341463414634
5680,2024,Anthony Black,20,ORL,PG,69,33,16.9,3.6,.466,1.4,.394,2.2,.510,.540,1.2,.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,2024,1164,8.4,.560,.381,.324,3.3,10.8,7.0,10.6,1.5,1.7,16.6,12.7,0.1,1.5,1.6,.067,-3.8,0.8,-3.0,-0.3,-2.56,-2.39,0.4146341463414634
5682,2024,Jett Howard,20,ORL,SF,18,0,3.7,1.7,.333,1.4,.280,0.3,.600,.450,0.2,.500,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6,2024,67,8.6,.457,.833,.133,1.7,10.6,6.1,13.0,1.5,2.8,8.6,22.7,-0.1,0.1,0.0,.005,-1.4,-0.3,-1.8,0.0,-2.56,-2.39,0.4146341463414634
